Month,music: (United States)
2004-01,83
2004-02,82
2004-03,85
2004-04,84
2004-05,85
2004-06,80
2004-07,76
2004-08,78
2004-09,80
2004-10,86
2004-11,90
2004-12,92
2005-01,81
2005-02,85
2005-03,85
2005-04,86
2005-05,92
2005-06,87
2005-07,82
2005-08,86
2005-09,83
2005-10,86
2005-11,96
2005-12,100
2006-01,89
2006-02,81
2006-03,88
2006-04,81
2006-05,80
2006-06,78
2006-07,76
2006-08,75
2006-09,76
2006-10,79
2006-11,83
2006-12,87
2007-01,73
2007-02,75
2007-03,74
2007-04,76
2007-05,74
2007-06,72
2007-07,71
2007-08,69
2007-09,71
2007-10,68
2007-11,79
2007-12,78
2008-01,65
2008-02,66
2008-03,66
2008-04,65
2008-05,67
2008-06,62
2008-07,60
2008-08,60
2008-09,58
2008-10,60
2008-11,65
2008-12,70
2009-01,59
2009-02,57
2009-03,60
2009-04,60
2009-05,60
2009-06,55
2009-07,54
2009-08,54
2009-09,57
2009-10,57
2009-11,62
2009-12,66
2010-01,58
2010-02,58
2010-03,58
2010-04,57
2010-05,61
2010-06,54
2010-07,49
2010-08,51
2010-09,51
2010-10,52
2010-11,56
2010-12,56
2011-01,54
2011-02,56
2011-03,54
2011-04,53
2011-05,55
2011-06,52
2011-07,53
2011-08,51
2011-09,51
2011-10,48
2011-11,52
2011-12,54
2012-01,49
2012-02,51
2012-03,47
2012-04,48
2012-05,47
2012-06,46
2012-07,43
2012-08,43
2012-09,47
2012-10,44
2012-11,45
2012-12,45
2013-01,42
2013-02,43
2013-03,42
2013-04,43
2013-05,44
2013-06,40
2013-07,40
2013-08,41
2013-09,42
2013-10,39
2013-11,44
2013-12,46
2014-01,41
2014-02,41
2014-03,42
2014-04,41
2014-05,42
2014-06,38
2014-07,39
2014-08,40
2014-09,36
2014-10,37
2014-11,38
2014-12,40
2015-01,38
2015-02,39
2015-03,41
2015-04,39
2015-05,40
2015-06,39
2015-07,40
2015-08,38
2015-09,40
2015-10,39
2015-11,42
2015-12,44
2016-01,38
2016-02,41
2016-03,37
2016-04,41
2016-05,41
2016-06,37
2016-07,34
2016-08,37
2016-09,37
2016-10,37
2016-11,37
2016-12,41
2017-01,35
2017-02,36
2017-03,38
2017-04,37
2017-05,39
2017-06,35
2017-07,35
2017-08,34
2017-09,34
2017-10,37
2017-11,39
2017-12,39
2018-01,36
2018-02,36
2018-03,35
2018-04,36
2018-05,36
2018-06,33
2018-07,32
2018-08,34
2018-09,34
2018-10,34
2018-11,35
2018-12,40
2019-01,35
2019-02,33
2019-03,34
2019-04,34
2019-05,35
2019-06,30
2019-07,31
2019-08,32
2019-09,34
2019-10,32
2019-11,33
2019-12,36
2020-01,32
2020-02,33
2020-03,30
2020-04,31
2020-05,29
2020-06,26
2020-07,26
2020-08,29
2020-09,30
2020-10,29
2020-11,26
2020-12,28
2021-01,25
2021-02,27
2021-03,25
2021-04,26
2021-05,27
2021-06,27
2021-07,25
2021-08,28
2021-09,28
2021-10,27
2021-11,29
2021-12,30
2022-01,29
2022-02,32
2022-03,31
2022-04,32
2022-05,36
2022-06,32
2022-07,30
2022-08,32
2022-09,32
2022-10,31
2022-11,33
2022-12,33
2023-01,31
2023-02,32
2023-03,34
2023-04,31
2023-05,31
